category,round,winner
mens,r32,Jannik Sinner
mens,r32,Ben Shelton
mens,r32,Grigor Dimitrov
mens,r32,Daniil Medvedev
mens,r32,Carlos Alcaraz
mens,r32,Ugo Humbert
mens,r32,Tommy Paul
mens,r32,Roberto Bautista Agut
mens,r32,Lorenzo Musetti
mens,r32,G. Mpetshi Perricard
mens,r32,Taylor Fritz
mens,r32,Alexander Zverev
mens,r32,Arthur Fils
mens,r32,Alex de Minaur
mens,r32,Holger Rune
mens,r32,Novak Djokovic
mens,r16,Jannik Sinner
mens,r16,Daniil Medvedev
mens,r16,Carlos Alcaraz
mens,r16,Tommy Paul
mens,r16,Lorenzo Musetti
mens,r16,Taylor Fritz
mens,r16,Alex de Minaur
mens,r16,Novak Djokovic
mens,qf,Daniil Medvedev
mens,qf,Carlos Alcaraz
mens,qf,Lorenzo Musetti
mens,qf,Novak Djokovic
mens,sf,Carlos Alcaraz
mens,sf,Novak Djokovic
mens,f,Carlos Alcaraz
womens,r32,Yulia Putintseva
womens,r32,Jelena Ostapenko
womens,r32,Danielle Collins
womens,r32,Barbora Krejcikova
womens,r32,Elena Rybakina
womens,r32,Anna Kalinskaya
womens,r32,Elina Svitolina
womens,r32,Harriet Dart
womens,r32,Lulu Sun
womens,r32,Emma Raducanu
womens,r32,Paula Badosa
womens,r32,Dona Vekic
womens,r32,Jasmine Paolini
womens,r32,Madison Keys
womens,r32,Emma Navarro
womens,r32,Coco Gauff
womens,r16,Jelena Ostapenko
womens,r16,Barbora Krejcikova
womens,r16,Elena Rybakina
womens,r16,Elina Svitolina
womens,r16,Lulu Sun
womens,r16,Dona Vekic
womens,r16,Jasmine Paolini
womens,r16,Emma Navarro
womens,qf,Barbora Krejcikova
womens,qf,Elena Rybakina
womens,qf,Dona Vekic
womens,qf,Jasmine Paolini
womens,sf,Barbora Krejcikova
womens,sf,Jasmine Paolini
womens,f,Barbora Krejcikova
